Price,Cluster
7430,1
9654,1
3048,2
5125,0
8566,1
6946,0
8086,1
7222,1
7755,1
6569,0
5044,0
4731,0
4262,2
9512,1
3199,2
6149,0
7868,1
9903,1
4188,2
9595,1
8757,1
7210,1
9841,1
3656,2
2638,2
7830,1
9410,1
7884,1
2264,2
8384,1
6985,0
8538,1
3163,2
6604,0
8448,1
5844,0
6377,0
9271,1
6200,0
5079,0
8499,1
8176,1
2162,2
2107,2
9099,1
3435,2
6605,0
8188,1
5561,0
5401,0
9533,1
7074,0
4332,2
4564,0
2284,2
3984,2
2898,2
5074,0
3943,2
7015,0
3370,2
7199,1
6307,0
7887,1
8187,1
3634,2
4129,2
6900,0
5739,0
4149,2
8793,1
9399,1
4658,0
5172,0
3686,2
4293,2
2073,2
7189,1
6430,0
5693,0
5591,0
3678,2
3094,2
3717,2
9375,1
2533,2
2060,2
6846,0
7899,1
2710,2
8028,1
3832,2
7846,1
5829,0
4738,0
2340,2
5281,0
7957,1
7296,1
3960,2
3145,2
2525,2
6853,0
6620,0
8908,1
6799,0
9132,1
2642,2
9085,1
8641,1
5662,0
8754,1
2538,2
5419,0
9952,1
5154,0
9718,1
3340,2
5313,0
3255,2
6601,0
7750,1
4198,2
6208,0
4983,0
4423,2
9348,1
2902,2
4461,2
9500,1
3945,2
7086,0
8688,1
2277,2
8109,1
2606,2
5409,0
8012,1
4941,0
5238,0
2705,2
6328,0
7453,1
3771,2
3242,2
9937,1
5192,0
5232,0
2328,2
9678,1
8041,1
5948,0
7576,1
2742,2
7409,1
3885,2
8349,1
4016,2
7845,1
2794,2
8525,1
3846,2
7434,1
4541,0
9457,1
5471,0
2496,2
6677,0
4709,0
2334,2
5366,0
3262,2
7925,1
8890,1
4266,2
2751,2
7256,1
2838,2
6954,0
2919,2
3898,2
9809,1
6410,0
6516,0
9202,1
7096,0
6917,0
6167,0
4023,2
7501,1
5214,0
4728,0
9159,1
6631,0
5101,0
2543,2
7867,1
7696,1
5590,0
7629,1
5180,0
8916,1
6637,0
6521,0
7716,1
9112,1
3507,2
3312,2
6829,0
4376,2
9555,1
8901,1
7497,1
8134,1
4843,0
5140,0
4459,2
5687,0
9026,1
2858,2
5962,0
3687,2
9669,1
3022,2
2990,2
4770,0
2472,2
6513,0
4493,2
4460,2
3688,2
5021,0
2687,2
7476,1
2521,2
5917,0
2751,2
3654,2
2943,2
8665,1
6071,0
7786,1
4150,2
5531,0
2405,2
4780,0
2793,2
9495,1
8322,1
9101,1
4116,2
3378,2
5048,0
7910,1
9727,1
4856,0
4441,2
5334,0
4736,0
4657,0
8710,1
5457,0
4521,2
7809,1
9018,1
3588,2
2415,2
8769,1
4593,0
6786,0
7896,1
5353,0
8027,1
8576,1
5803,0
7160,0
5982,0
3904,2
2726,2
8087,1
8385,1
2151,2
8428,1
4503,2
3248,2
2768,2
2487,2
3338,2
3493,2
9103,1
6203,0
6016,0
4595,0
8773,1
4836,0
8611,1
2759,2
5156,0
7850,1
8009,1
8038,1
6562,0
6370,0
7991,1
4111,2
3779,2
2878,2
4426,2
5300,0
3196,2
4255,2
5834,0
2719,2
8067,1
7436,1
7041,0
7121,0
3530,2
3612,2
2332,2
4805,0
5014,0
9029,1
9276,1
6021,0
7533,1
8619,1
4446,2
4754,0
2140,2
7835,1
3436,2
2730,2
8460,1
4633,0
7182,1
7771,1
2913,2
4495,2
2454,2
9941,1
8026,1
8754,1
7765,1
7627,1
2868,2
7025,0
7938,1
5733,0
2834,2
4491,2
2801,2
5702,0
6943,0
3617,2
5024,0
5764,0
7402,1
3876,2
3706,2
3325,2
4571,0
2604,2
7215,1
6824,0
4323,2
9185,1
2381,2
2522,2
2386,2
7122,0
7111,0
7360,1
3020,2
8719,1
8789,1
9613,1
8216,1
5532,0
5996,0
6894,0
9548,1
6035,0
3651,2
5554,0
8809,1
7501,1
2802,2
2427,2
6062,0
8228,1
6833,0
8234,1
9740,1
5436,0
3552,2
8982,1
4810,0
2090,2
6592,0
4236,2
7435,1
4799,0
5308,0
2505,2
2258,2
5657,0
6353,0
9825,1
7248,1
8879,1
2117,2
9201,1
5161,0
5934,0
2750,2
9459,1
9086,1
6713,0
2519,2
3619,2
4407,2
4821,0
7900,1
9797,1
8892,1
3754,2
4916,0
2088,2
8942,1
4773,0
7796,1
5498,0
8903,1
7271,1
2996,2
4984,0
